Epoch 26/400 train_mse_scaled=0.034005 val_mae=189.585 val_rmse=249.467 test_mae=182.325 test_rmse=231.713 tf=0.95 lr=0.000125
Epoch 27/400 train_mse_scaled=0.032511 val_mae=177.912 val_rmse=233.858 test_mae=178.718 test_rmse=225.034 tf=0.95 lr=0.000125
Epoch 28/400 train_mse_scaled=0.033171 val_mae=172.524 val_rmse=227.385 test_mae=174.641 test_rmse=219.250 tf=0.95 lr=0.000125
Epoch 29/400 train_mse_scaled=0.034319 val_mae=168.104 val_rmse=221.188 test_mae=178.199 test_rmse=220.779 tf=0.94 lr=0.000125
Epoch 30/400 train_mse_scaled=0.034324 val_mae=172.086 val_rmse=227.022 test_mae=176.345 test_rmse=219.994 tf=0.94 lr=0.000125
Epoch 31/400 train_mse_scaled=0.033669 val_mae=166.301 val_rmse=218.705 test_mae=172.340 test_rmse=214.488 tf=0.94 lr=0.000125
Epoch 32/400 train_mse_scaled=0.035256 val_mae=161.592 val_rmse=212.410 test_mae=170.320 test_rmse=210.913 tf=0.94 lr=0.000125
Epoch 33/400 train_mse_scaled=0.035076 val_mae=169.559 val_rmse=223.524 test_mae=172.111 test_rmse=215.664 tf=0.94 lr=0.000125
Epoch 34/400 train_mse_scaled=0.033129 val_mae=168.705 val_rmse=222.095 test_mae=170.175 test_rmse=213.091 tf=0.93 lr=0.000125
Epoch 35/400 train_mse_scaled=0.032718 val_mae=166.145 val_rmse=219.134 test_mae=171.926 test_rmse=214.664 tf=0.93 lr=0.000125
Epoch 36/400 train_mse_scaled=0.034787 val_mae=168.605 val_rmse=221.721 test_mae=170.202 test_rmse=213.630 tf=0.93 lr=0.000125
Epoch 37/400 train_mse_scaled=0.033941 val_mae=165.518 val_rmse=218.283 test_mae=169.276 test_rmse=211.656 tf=0.93 lr=6.25e-05
Epoch 38/400 train_mse_scaled=0.034149 val_mae=168.480 val_rmse=222.443 test_mae=171.286 test_rmse=214.291 tf=0.93 lr=6.25e-05
Epoch 39/400 train_mse_scaled=0.034485 val_mae=167.274 val_rmse=220.582 test_mae=169.748 test_rmse=212.501 tf=0.92 lr=6.25e-05
Epoch 40/400 train_mse_scaled=0.034022 val_mae=166.524 val_rmse=219.831 test_mae=169.684 test_rmse=212.441 tf=0.92 lr=6.25e-05
Epoch 41/400 train_mse_scaled=0.034996 val_mae=166.301 val_rmse=219.103 test_mae=167.356 test_rmse=209.816 tf=0.92 lr=3.125e-05
Epoch 42/400 train_mse_scaled=0.035123 val_mae=162.995 val_rmse=214.628 test_mae=166.765 test_rmse=207.952 tf=0.92 lr=3.125e-05
Epoch 43/400 train_mse_scaled=0.034302 val_mae=162.601 val_rmse=214.157 test_mae=166.257 test_rmse=207.421 tf=0.92 lr=3.125e-05
Epoch 44/400 train_mse_scaled=0.035562 val_mae=166.004 val_rmse=219.358 test_mae=167.698 test_rmse=210.205 tf=0.91 lr=3.125e-05
Epoch 45/400 train_mse_scaled=0.035549 val_mae=164.872 val_rmse=217.518 test_mae=166.928 test_rmse=208.980 tf=0.91 lr=1.5625e-05
