Epoch 25/400 train_mse_scaled=0.000000 val_mae=457.432 val_rmse=488.780 test_mae=396.242 test_rmse=476.111 tf=0.95 lr=3.125e-05
Epoch 26/400 train_mse_scaled=0.000000 val_mae=457.432 val_rmse=488.780 test_mae=396.242 test_rmse=476.111 tf=0.95 lr=1.5625e-05
Epoch 27/400 train_mse_scaled=0.000000 val_mae=457.432 val_rmse=488.780 test_mae=396.242 test_rmse=476.111 tf=0.95 lr=1.5625e-05
Epoch 28/400 train_mse_scaled=0.000000 val_mae=457.432 val_rmse=488.780 test_mae=396.242 test_rmse=476.111 tf=0.95 lr=1.5625e-05
Epoch 29/400 train_mse_scaled=0.000000 val_mae=457.432 val_rmse=488.780 test_mae=396.242 test_rmse=476.111 tf=0.94 lr=1.5625e-05
Epoch 30/400 train_mse_scaled=0.000000 val_mae=457.432 val_rmse=488.780 test_mae=396.242 test_rmse=476.111 tf=0.94 lr=7.8125e-06
Epoch 31/400 train_mse_scaled=0.000000 val_mae=457.432 val_rmse=488.780 test_mae=396.242 test_rmse=476.111 tf=0.94 lr=7.8125e-06
Epoch 32/400 train_mse_scaled=0.000000 val_mae=457.432 val_rmse=488.780 test_mae=396.242 test_rmse=476.111 tf=0.94 lr=7.8125e-06
Epoch 33/400 train_mse_scaled=0.000000 val_mae=457.432 val_rmse=488.780 test_mae=396.242 test_rmse=476.111 tf=0.94 lr=7.8125e-06
Epoch 34/400 train_mse_scaled=0.000000 val_mae=457.432 val_rmse=488.780 test_mae=396.242 test_rmse=476.111 tf=0.93 lr=3.90625e-06
Epoch 35/400 train_mse_scaled=0.000000 val_mae=457.432 val_rmse=488.780 test_mae=396.242 test_rmse=476.111 tf=0.93 lr=3.90625e-06
Epoch 36/400 train_mse_scaled=0.000000 val_mae=457.432 val_rmse=488.780 test_mae=396.242 test_rmse=476.111 tf=0.93 lr=3.90625e-06
Epoch 37/400 train_mse_scaled=0.000000 val_mae=457.432 val_rmse=488.780 test_mae=396.242 test_rmse=476.111 tf=0.93 lr=3.90625e-06
Epoch 38/400 train_mse_scaled=0.000000 val_mae=457.432 val_rmse=488.780 test_mae=396.242 test_rmse=476.111 tf=0.93 lr=1.95313e-06
Epoch 39/400 train_mse_scaled=0.000000 val_mae=457.432 val_rmse=488.780 test_mae=396.242 test_rmse=476.111 tf=0.92 lr=1.95313e-06
Epoch 40/400 train_mse_scaled=0.000000 val_mae=457.432 val_rmse=488.780 test_mae=396.242 test_rmse=476.111 tf=0.92 lr=1.95313e-06
Epoch 41/400 train_mse_scaled=0.000000 val_mae=457.432 val_rmse=488.780 test_mae=396.242 test_rmse=476.111 tf=0.92 lr=1.95313e-06
Epoch 42/400 train_mse_scaled=0.000000 val_mae=457.432 val_rmse=488.780 test_mae=396.242 test_rmse=476.111 tf=0.92 lr=9.76563e-07
Epoch 43/400 train_mse_scaled=0.000000 val_mae=457.432 val_rmse=488.780 test_mae=396.242 test_rmse=476.111 tf=0.92 lr=9.76563e-07
Epoch 44/400 train_mse_scaled=0.000000 val_mae=457.432 val_rmse=488.780 test_mae=396.242 test_rmse=476.111 tf=0.91 lr=9.76563e-07
Epoch 45/400 train_mse_scaled=0.000000 val_mae=457.432 val_rmse=488.780 test_mae=396.242 test_rmse=476.111 tf=0.91 lr=9.76563e-07
Epoch 46/400 train_mse_scaled=0.000000 val_mae=457.432 val_rmse=488.780 test_mae=396.242 test_rmse=476.111 tf=0.91 lr=4.88281e-07
Epoch 47/400 train_mse_scaled=0.000000 val_mae=457.432 val_rmse=488.780 test_mae=396.242 test_rmse=476.111 tf=0.91 lr=4.88281e-07
Epoch 48/400 train_mse_scaled=0.000000 val_mae=457.432 val_rmse=488.780 test_mae=396.242 test_rmse=476.111 tf=0.91 lr=4.88281e-07
Epoch 49/400 train_mse_scaled=0.000000 val_mae=457.432 val_rmse=488.780 test_mae=396.242 test_rmse=476.111 tf=0.90 lr=4.88281e-07
Epoch 50/400 train_mse_scaled=0.000000 val_mae=457.432 val_rmse=488.780 test_mae=396.242 test_rmse=476.111 tf=0.90 lr=2.44141e-07
Epoch 51/400 train_mse_scaled=0.000000 val_mae=457.432 val_rmse=488.780 test_mae=396.242 test_rmse=476.111 tf=0.90 lr=2.44141e-07
Early stopping triggered at epoch 51. Best val RMSE: 488.780
Training complete. Best checkpoint at: v2/results/checkpoints/seq2seq/best.pth
